행정구역별(읍면동),연령별,2018,2018,2018,2018,2018,2018,2018,2018
행정구역별(읍면동),연령별,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비
서울특별시,합계,"9,673,936","4,718,972","4,954,964",95.2,"9,299,511","4,536,552","4,762,959",95.2
　　　종로구,합계,"157,967","77,147","80,820",95.5,"145,911","71,611","74,300",96.4
　　　중구,합계,"129,797","62,975","66,822",94.2,"117,809","57,240","60,569",94.5
　　　용산구,합계,"226,938","110,685","116,253",95.2,"207,812","99,806","108,006",92.4
　　　성동구,합계,"306,796","150,623","156,173",96.4,"295,489","145,220","150,269",96.6
　　　광진구,합계,"362,304","175,762","186,542",94.2,"342,575","166,730","175,845",94.8
　　　동대문구,합계,"358,141","176,323","181,818",97.0,"338,293","167,999","170,294",98.7
　　　중랑구,합계,"391,668","193,599","198,069",97.7,"385,082","190,871","194,211",98.3
　　　성북구,합계,"438,734","211,204","227,530",92.8,"424,211","205,031","219,180",93.5
　　　강북구,합계,"309,138","150,028","159,110",94.3,"304,191","148,057","156,134",94.8
　　　도봉구,합계,"328,243","159,569","168,674",94.6,"325,292","158,370","166,922",94.9
　　　노원구,합계,"534,096","258,737","275,359",94.0,"528,268","256,124","272,144",94.1
　　　은평구,합계,"462,552","223,452","239,100",93.5,"456,582","220,818","235,764",93.7
　　　서대문구,합계,"318,874","149,438","169,436",88.2,"304,508","144,208","160,300",90.0
　　　마포구,합계,"368,181","174,194","193,987",89.8,"355,405","168,819","186,586",90.5
　　　양천구,합계,"445,591","218,975","226,616",96.6,"439,910","216,381","223,529",96.8
　　　강서구,합계,"578,539","280,629","297,910",94.2,"569,360","276,282","293,078",94.3
　　　구로구,합계,"433,765","217,086","216,679",100.2,"388,079","192,022","196,057",97.9
　　　금천구,합계,"249,344","127,278","122,066",104.3,"221,820","112,288","109,532",102.5
　　　영등포구,합계,"395,286","198,031","197,255",100.4,"346,135","171,625","174,510",98.3
