Date	GBP	CHF	CAD
12/30/1988	0.5522	1.502	1.1928
1/31/1989	0.5708	1.5997	1.1835
2/28/1989	0.5736	1.5549	1.199
3/31/1989	0.5933	1.6625	1.1936
4/28/1989	0.5917	1.6735	1.1865
5/31/1989	0.6369	1.706	1.2062
6/30/1989	0.6452	1.679	1.1985
7/31/1989	0.6002	1.6065	1.1809
8/31/1989	0.6378	1.688	1.1763
9/29/1989	0.6171	1.6228	1.1789
10/31/1989	0.6325	1.6145	1.1741
11/30/1989	0.6367	1.5915	1.1633
12/29/1989	0.6202	1.541	1.158
1/31/1990	0.5959	1.504	1.1858
2/28/1990	0.5961	1.4915	1.1923
3/30/1990	0.6068	1.4975	1.1705
4/30/1990	0.609	1.4505	1.1654
5/31/1990	0.5959	1.433	1.1745
6/29/1990	0.5718	1.4155	1.1665
7/31/1990	0.5366	1.3477	1.153
8/31/1990	0.5277	1.3085	1.1545
9/28/1990	0.5323	1.2995	1.1565
10/31/1990	0.5145	1.287	1.1678
11/30/1990	0.5145	1.2765	1.1658
12/31/1990	0.5181	1.277	1.1605
1/31/1991	0.5084	1.258	1.1629
2/28/1991	0.5227	1.3265	1.1499
3/29/1991	0.5711	1.445	1.1595
4/30/1991	0.5794	1.449	1.152
5/31/1991	0.5889	1.4822	1.1453
6/28/1991	0.6165	1.5582	1.1424
7/31/1991	0.5928	1.526	1.1519
8/30/1991	0.5947	1.5285	1.1422
9/30/1991	0.5711	1.449	1.1318
10/31/1991	0.575	1.465	1.123
11/29/1991	0.5656	1.436	1.135
12/31/1991	0.5346	1.3615	1.1558
1/31/1992	0.5594	1.429	1.1752
2/28/1992	0.5689	1.4845	1.182
3/31/1992	0.5759	1.502	1.1902
4/30/1992	0.5628	1.517	1.196
5/29/1992	0.5465	1.4562	1.2048
6/30/1992	0.5249	1.3747	1.1972
7/31/1992	0.5188	1.3155	1.1836
8/31/1992	0.5029	1.2504	1.1947
9/30/1992	0.5627	1.2368	1.246
10/30/1992	0.6416	1.3743	1.2394
11/30/1992	0.6592	1.4337	1.2883
12/31/1992	0.662	1.4675	1.2703
1/29/1993	0.6729	1.488	1.2674
2/26/1993	0.7015	1.528	1.2491
3/31/1993	0.6603	1.491	1.2593
4/30/1993	0.6353	1.4315	1.2711
5/31/1993	0.6398	1.4205	1.2713
6/30/1993	0.6706	1.514	1.2822
7/30/1993	0.6745	1.524	1.2861
8/31/1993	0.67	1.4785	1.3195
9/30/1993	0.6684	1.4257	1.334
10/29/1993	0.6757	1.4925	1.3207
11/30/1993	0.673	1.499	1.3355
12/31/1993	0.6768	1.4885	1.3254
1/31/1994	0.6636	1.4568	1.3297
2/28/1994	0.6732	1.4265	1.35
3/31/1994	0.6739	1.4135	1.3836
4/29/1994	0.6585	1.4035	1.3823
5/31/1994	0.6617	1.4025	1.3833
6/30/1994	0.6475	1.3335	1.3835
7/29/1994	0.6477	1.34	1.3866
8/31/1994	0.6519	1.332	1.367
9/30/1994	0.6339	1.2875	1.3436
10/31/1994	0.6114	1.2565	1.3533
11/30/1994	0.6392	1.3265	1.376
12/30/1994	0.6391	1.3086	1.4019
1/31/1995	0.6331	1.2855	1.407
2/28/1995	0.6314	1.2375	1.3908
3/31/1995	0.6167	1.1285	1.399
4/28/1995	0.6202	1.144	1.356
5/31/1995	0.6304	1.1672	1.3701
6/30/1995	0.6268	1.148	1.372
7/31/1995	0.6262	1.1525	1.365
8/31/1995	0.6453	1.2034	1.3432
9/29/1995	0.631	1.1543	1.3415
10/31/1995	0.633	1.1363	1.3443
11/30/1995	0.6521	1.1761	1.3606
12/29/1995	0.6453	1.1543	1.3645
1/31/1996	0.6606	1.2112	1.3742
2/29/1996	0.6528	1.2015	1.3693
3/29/1996	0.6549	1.1897	1.3595
4/30/1996	0.6638	1.2445	1.3616
5/31/1996	0.6447	1.2486	1.3688
6/28/1996	0.644	1.2545	1.3636
7/31/1996	0.6424	1.1978	1.3752
8/30/1996	0.6391	1.2017	1.3682
9/30/1996	0.6389	1.2548	1.3616
10/31/1996	0.6146	1.2687	1.3387
11/29/1996	0.5945	1.305	1.3511
12/31/1996	0.5834	1.3415	1.3705
1/31/1997	0.6241	1.4225	1.3472
2/28/1997	0.614	1.479	1.3681
3/31/1997	0.6107	1.4488	1.3842
4/30/1997	0.6159	1.4735	1.3978
5/30/1997	0.6102	1.4142	1.377
6/30/1997	0.6004	1.4618	1.3812
7/31/1997	0.6095	1.5125	1.3783
8/29/1997	0.6191	1.4925	1.3883
9/30/1997	0.619	1.4476	1.3819
10/31/1997	0.5978	1.3995	1.4083
11/28/1997	0.5921	1.4269	1.4229
12/31/1997	0.6078	1.4619	1.4297
1/30/1998	0.6127	1.4762	1.4534
2/27/1998	0.6086	1.4653	1.4235
3/31/1998	0.5979	1.5223	1.4196
4/30/1998	0.5984	1.5013	1.4308
5/29/1998	0.6131	1.4831	1.4569
6/30/1998	0.5996	1.5203	1.4669
7/31/1998	0.6125	1.4917	1.5133
8/31/1998	0.5953	1.4425	1.567
9/30/1998	0.5886	1.3785	1.5307
10/30/1998	0.5968	1.3515	1.543
11/30/1998	0.6069	1.394	1.5348
12/31/1998	0.6024	1.3753	1.5382
1/29/1999	0.6079	1.416	1.5105
2/26/1999	0.624	1.4463	1.5095
3/31/1999	0.6207	1.4823	1.5063
4/30/1999	0.6213	1.5255	1.4565
5/31/1999	0.624	1.5272	1.4734
6/30/1999	0.6338	1.5494	1.4631
7/30/1999	0.6167	1.4908	1.5066
8/31/1999	0.6235	1.5146	1.4928
9/30/1999	0.6071	1.4956	1.4672
10/29/1999	0.608	1.5209	1.4707
11/30/1999	0.6257	1.5862	1.4738
12/31/1999	0.618	1.5907	1.4461
1/31/2000	0.6187	1.6576	1.4479
2/29/2000	0.6332	1.6653	1.4497
3/31/2000	0.6285	1.6653	1.4488
4/28/2000	0.6446	1.7157	1.4798
5/31/2000	0.666	1.68	1.4966
6/30/2000	0.6605	1.6343	1.481
7/31/2000	0.6668	1.6699	1.4863
8/31/2000	0.6909	1.7424	1.472
9/29/2000	0.6778	1.7247	1.5032
10/31/2000	0.6908	1.7973	1.5237
11/30/2000	0.7017	1.729	1.537
12/29/2000	0.6698	1.6111	1.4991
1/31/2001	0.6828	1.6354	1.4978
2/28/2001	0.6918	1.6681	1.5364
3/30/2001	0.7062	1.7428	1.5757
4/30/2001	0.6983	1.733	1.535
5/31/2001	0.705	1.7979	1.538
6/29/2001	0.7066	1.7921	1.5143
7/31/2001	0.7017	1.7265	1.5335
8/31/2001	0.6878	1.6618	1.5512
9/28/2001	0.6782	1.6204	1.5792
10/31/2001	0.6875	1.6337	1.5884
11/30/2001	0.7022	1.6415	1.573
12/31/2001	0.6875	1.6603	1.593
1/31/2002	0.7088	1.7193	1.5891
2/28/2002	0.7055	1.6966	1.6016
3/29/2002	0.7013	1.6813	1.5949
4/30/2002	0.6859	1.6175	1.5677
5/31/2002	0.6871	1.5678	1.5279
6/28/2002	0.6521	1.481	1.5174
7/31/2002	0.6395	1.4852	1.5842
8/30/2002	0.645	1.4988	1.5585
9/30/2002	0.6376	1.4752	1.5868
10/31/2002	0.6389	1.4767	1.5584
11/29/2002	0.6421	1.4832	1.5653
12/31/2002	0.6211	1.3836	1.5718
1/31/2003	0.6074	1.3639	1.5195
2/28/2003	0.636	1.352	1.4846
3/31/2003	0.6318	1.3514	1.4673
4/30/2003	0.6256	1.3547	1.4301
5/30/2003	0.6111	1.2979	1.3666
6/30/2003	0.6044	1.3509	1.3467
7/31/2003	0.6208	1.3709	1.4043
8/29/2003	0.6338	1.3999	1.3865
9/30/2003	0.6018	1.3192	1.3521
10/31/2003	0.5897	1.3395	1.3198
11/28/2003	0.5807	1.291	1.3008
12/31/2003	0.56	1.2391	1.297
1/30/2004	0.5483	1.2565	1.3252
2/27/2004	0.5352	1.2623	1.3343
3/31/2004	0.5417	1.2659	1.3093
4/30/2004	0.5624	1.2956	1.3722
5/31/2004	0.5458	1.2541	1.3624
6/30/2004	0.5493	1.2487	1.3328
7/30/2004	0.5495	1.2815	1.3314
8/31/2004	0.5548	1.2664	1.3127
9/30/2004	0.5519	1.2461	1.2613
10/29/2004	0.5443	1.1943	1.2177
11/30/2004	0.5237	1.1413	1.1874
12/31/2004	0.5213	1.1404	1.2019
1/31/2005	0.5311	1.1889	1.2398
2/28/2005	0.5206	1.1631	1.2339
3/31/2005	0.529	1.1965	1.2104
4/29/2005	0.5239	1.1951	1.2583
5/31/2005	0.5503	1.2483	1.2549
6/30/2005	0.5582	1.2814	1.2251
